word,count
health,29
mental,23
university,22
psychology,18
people,14
social,11
degree,10
clinical,10
new,10
experience,10
therapist,9
life,9
emotional,9
writing,9
years,8
professional,8
work,8
based,8
lives,7
worked,7
book,7
intelligence,7
trauma,7
practice,7
therapy,7
college,6
glenn,6
healing,6
state,6
help,6
issues,6
families,6
working,5
licensed,5
anger,5
york,5
brandt,5
including,5
school,5
settings,5
california,5
family,5
holistic,5
author,5
anxiety,5
publications,5
scott,5
you,5
bachelor,5
private,5
helping,5
services,5
clients,5
advocate,4
oxford,4
cups,4
through,4
science,4
rory,4
graduate,4
well,4
counseling,4
personal,4
approaches,4
passion,4
works,4
children,4
published,4
mating,4
evolutionary,4
individuals,4
using,4
master,4
ashley,4
self,4
young,4
obtained,4
evidence,4
coach,4
practitioner,4
system,3
received,3
along,3
teacher,3
grube,3
michael,3
edited,3
centers,3
leslie,3
since,3
depression,3
support,3
research,3
taught,3
two,3
worker,3
approach,3
aging,3
masters,3
treatment,3
own,3
middle,3
psychotherapist,3
after,3
group,3
public,3
world,3
counselor,3
time,3
professor,3
others,3
indigo,3
best,3
accredited,3
studying,3
therapeutic,3
institute,3
graham,3
long,2
uses,2
write,2
exploring,2
insights,2
major,2
techniques,2
tools,2
interest,2
human,2
association,2
counsellor,2
registered,2
abuse,2
completed,2
cancer,2
chronic,2
ill,2
applied,2
level,2
qualified,2
counselling,2
used,2
child,2
protection,2
youth,2
personality,2
written,2
wellbeing,2
devoted,2
meaningful,2
way,2
makes,2
local,2
supporting,2
behavioral,2
certified,2
now,2
informative,2
skills,2
strengths,2
process,2
denver,2
director,2
florida,2
passionate,2
education,2
courses,2
continued,2
diploma,2
levels,2
put,2
good,2
stories,2
full,2
individual,2
management,2
recognized,2
programs,2
outpatient,2
academic,2
manage,2
marriage,2
career,2
learn,2
completing,2
developed,2
jennifer,2
centered,2
goals,2
violence,2
senior,2
internship,2
model,2
psychiatric,2
units,2
arts,2
psychologist,2
trains,2
holds,2
open,2
challenges,2
mindful,2
purpose,2
find,2
powerful,2
aggressiveness,2
methods,2
relationships,2
passive,2
andrea,2
san,2
treating,2
rehabilitation,2
professionals,2
vocational,2
advocacy,2
empowering,2
books,2
within,2
com,2
sense,2
supervisor,2
hopes,2
ilene,2
student,2
variety,2
adults,2
teens,2
colorado,2
usa,2
heather,2
awards,2
currently,2
impact,2
ability,2
rose,2
conditions,2
year,2
clinician,2
helped,2
include,2
statistics,2
paltz,2
gallagher,2
erin,2
cognitive,2
mom,2
three,2
press,2
thousands,2
washington,2
internationally,2
educator,2
gurian,2
times,2
harvard,2
stanford,2
