contributor_id,credentials,years_experience,specialty_tags,article_count,first_article_date,last_article_date
9c9665ecb0d5,,,,1,2019-08-12,2019-08-12
dbe590beb0da,,,,1,2019-08-12,2019-08-12
20180aaae434,"PhD, LPC",,,1,2017-03-19,2017-03-19
43b663615807,"ICHP, D.CBT",,,2,2019-03-21,2019-05-13
6535cd9ec7ab,"PCC, CEBC",,coaching,2,2019-03-28,2019-08-01
fddac24c4868,"BASS (Coun), GDYMH, MSW (Prof. Qual.)",10.0,trauma; children/adolescents; social work,1,2020-11-30,2020-11-30
55e5d7040476,RPC,,trauma; anxiety; depression; addiction,5,2019-04-04,2020-12-01
29ca55d0da7c,LMFT,18.0,marriage/family,1,2019-01-17,2019-01-17
3e2ca3368de9,"PhD, MFT",35.0,marriage/family; trauma; anxiety; anger management,2,2019-03-14,2019-08-01
aaf1bcbddf77,PsyD,,coaching,6,2019-01-25,2019-03-07
712a99f279b5,,,,1,2019-09-12,2019-09-12
b5790cd85cd1,PhD,,,3,2019-07-11,2019-09-12
7dd488f2c7a7,"MSC, MA, Dip.Cons",,clinical supervision,5,2019-01-17,2019-05-19
ebe1f6ca89f7,LMHC,,marriage/family,1,2023-12-25,2023-12-25
62231c9044af,,,marriage/family,3,2019-04-19,2019-06-03
c4e0ec73c114,LCSW,,trauma; anxiety; depression; children/adolescents; social work,1,2017-04-28,2017-04-28
83979feabda7,LMHC,10.0,anxiety; children/adolescents; clinical supervision,6,2019-02-22,2019-06-19
398099625ef0,,20.0,,5,2019-05-19,2019-08-01
282a6c23a7bf,,,trauma; addiction; coaching,1,2019-04-16,2019-04-16
e3e95b5b3bd8,PhD,,,2,2019-09-12,2019-09-12
66f15059c472,LCSW,,trauma; children/adolescents; social work,1,2019-05-13,2019-05-13
16ef254c6e8e,LMFT,,,1,2019-07-11,2019-07-11
1b66270ab32e,,15.0,,4,2019-03-21,2019-09-12
454f0d6df234,PhD,,,1,2019-07-11,2019-07-11
